Episode,Step,EpisodeReward
1,0,-0.29808217170344053
1,1,0.9104896205423665
1,2,-4.059985015080613
1,3,-3.3852378290959706
1,4,-1.8071793889389614
1,5,-0.19398952256970636
1,6,-1.6608736152496995
1,7,-0.5868812107673029
1,8,1.2885275347727547
1,9,2.5523863003944602
1,10,3.786037185224416
1,11,4.976979059083959
1,12,7.0482492212650545
1,13,3.498391169166651
1,14,4.886290604975627
1,15,3.4842893633154652
1,16,5.721736289336688
1,17,3.749759677853244
1,18,4.509667311813256
1,19,4.7280720475884666
1,20,4.594443265791382
1,21,5.245206409529841
1,22,2.298059852149744
1,23,1.7145892650520376
1,24,3.413444366943137
1,25,1.766474640411227
1,26,2.2552302622868785
1,27,2.8453603759429518
1,28,0.4904223159043717
1,29,2.3756286554530037
1,30,0.5103534986532894
1,31,1.4136777524243642
1,32,-1.5186555028931548
1,33,-1.704202747608889
1,34,-3.4350379457117866
1,35,-2.6887784943172788
1,36,-2.0451168751367446
1,37,-3.1704459103979215
1,38,-3.9318974090192507
1,39,-3.3315175772123036
1,40,-6.940465825392987
1,41,-5.138666466850405
1,42,-3.5158854331121265
1,43,-2.698881121323362
1,44,-3.155243954401592
1,45,-2.8649490100732544
1,46,-5.255691792906784
1,47,-3.625935363440102
1,48,-1.8457102177298397
1,49,-1.0875188631241715
1,50,0.8656457286332861
1,51,1.7281005984012845
1,52,1.5721378259345065
1,53,1.5518144695857095
1,54,1.5129186760456466
1,55,1.1582299358113104
1,56,-0.829271665421226
1,57,-1.4950861301931233
1,58,-0.8773794718291406
1,59,-2.543788908475573
1,60,-3.894142578867796
1,61,-2.655957752581399
1,62,-4.702026932087419
1,63,-6.312391327077191
1,64,-8.423823578823711
1,65,-11.7283389841516
1,66,-14.397092894091395
1,67,-17.086556110111296
1,68,-14.112345225178483
1,69,-17.180670076251555
1,70,-19.47400243812704
1,71,-22.111527788176925
1,72,-21.505701443315843
1,73,-24.16581535598624
1,74,-26.80246033668695
1,75,-29.47158500850071
1,76,-31.794325707844138
1,77,-34.31086166311604
1,78,-36.787373648815475
1,79,-39.22136773888727
1,80,-41.6108485905593
1,81,-40.41910346050729
1,82,-42.80921364424346
1,83,-40.574890539267784
1,84,-42.926762463923126
1,85,-39.640110345439425
1,86,-42.16864884323691
1,87,-44.47517974620531
1,88,-44.37433267255341
1,89,-43.98888639184041
1,90,-46.5665456704743
1,91,-48.77217947625182
1,92,-50.61655365962382
1,93,-52.289360989999054
1,94,-53.690093147975645
1,95,-55.040259223735816
1,96,-50.86604869911832
1,97,-52.51220268331434
1,98,-53.66273774400463
1,99,-54.890037105391684
1,100,-56.06260783928866
1,101,-53.49260032216834
1,102,-54.23750671677955
1,103,-55.05247522473475
1,104,-56.20379143196082
