Episode,Step,EpisodeReward
1,0,1.803151203822183
1,1,2.9639899721001948
1,2,2.9334807664878633
1,3,3.7061436200666855
1,4,5.5031912016688445
1,5,2.8566093250022258
1,6,5.083764390270959
1,7,6.181353080287453
1,8,5.265192869144385
1,9,6.342787984620741
1,10,6.147805755623352
1,11,3.480127339454765
1,12,5.462455772682473
1,13,6.231976582777163
1,14,6.812366361638722
1,15,6.123273943341174
1,16,7.317574842796191
1,17,6.766077136102993
1,18,6.844678017402161
1,19,6.17760070906205
1,20,4.072707425960477
1,21,2.5902289479829115
1,22,1.1501619987076885
1,23,2.666684438752481
1,24,0.4159527999648409
1,25,-1.5359018391073531
1,26,-3.203403916914722
1,27,-2.760382233290302
1,28,-4.451455588989006
1,29,-3.897095040336427
1,30,-4.10379521087488
1,31,-0.6236144277901916
1,32,-2.4398317401547764
1,33,-3.3898104272120158
1,34,-1.9185741158120984
1,35,-2.8836836017223026
1,36,-2.129129636903608
1,37,-2.6901728761037953
1,38,-4.639512972683157
1,39,-6.220579829371849
1,40,-6.567902468680478
1,41,-4.318985433016047
1,42,-5.358285503092014
1,43,-1.616992587831799
1,44,-2.2441472910769376
1,45,-3.1818662781265434
1,46,-4.2990517656469445
1,47,-5.732230506565465
1,48,-4.301504246578356
1,49,-5.873279300768639
1,50,-7.815751911323952
1,51,-9.536836086713997
1,52,-11.451940664283219
1,53,-8.92438719468354
1,54,-11.51017785555789
1,55,-13.869323219854724
1,56,-12.818246710647877
1,57,-11.30507363088297
1,58,-13.300868827837158
1,59,-14.83175638336764
1,60,-16.617761436245964
1,61,-13.600931689333745
1,62,-15.746220165176137
1,63,-15.26116346000613
1,64,-17.432098234987464
1,65,-19.630387043916457
1,66,-17.420584630192852
1,67,-19.390047423198386
1,68,-21.623249177503713
1,69,-24.00428038033903
1,70,-26.246024251105755
1,71,-25.1915955621973
1,72,-23.365528113491575
1,73,-25.433335765974117
1,74,-22.96775029634503
1,75,-21.060215214200372
1,76,-22.958500627459006
1,77,-24.51784370451823
1,78,-21.06086079833063
1,79,-18.90897500762912
1,80,-20.550419574453993
1,81,-15.702293981327827
1,82,-12.08544169051422
1,83,-13.877971203269457
1,84,-13.546809193822604
1,85,-8.921690399635235
1,86,-10.43536933903446
1,87,-11.719822634264183
1,88,-9.823113735795541
1,89,-9.223121282270583
1,90,-10.605224114329005
1,91,-9.389690924034912
1,92,-6.556327164750505
1,93,-3.160489088758064
1,94,0.07757159204877251
1,95,-0.7417720343934453
1,96,-1.2863519603929157
1,97,-0.8322145337424567
1,98,1.5362526922218074
1,99,0.0818209932668883
1,100,1.2110374006194722
1,101,3.941865830458193
1,102,4.169569468021314
1,103,5.123380347443533
1,104,4.907513553714371
1,105,7.123255317435481
1,106,8.449061461432178
1,107,9.559585429035133
1,108,8.86444799925456
1,109,8.8352108406099
1,110,11.210284390866214
1,111,15.722055894896972
1,112,16.012264993620892
1,113,17.06640351530845
1,114,19.253933734194145
1,115,19.002258940911513
1,116,21.84962729125595
1,117,25.415482445275362
1,118,26.981075995609203
1,119,28.437604663551436
1,120,30.170952038904552
1,121,30.693772859364124
1,122,32.11925586271004
1,123,31.431078187957432
1,124,35.494961550206604
1,125,35.27685375376763
1,126,35.9690314967793
1,127,37.68293225229015
1,128,38.888468839154434
1,129,42.025453817989664
1,130,40.994613295108714
1,131,42.88142786465175
1,132,45.61369154967003
1,133,45.605460299727376
1,134,62.31057955362531
1,135,66.48592897330724
1,136,82.81492935107366
1,137,92.08255399826811
1,138,-7.917446001731889
2,0,-4.23023785236187
2,1,-3.296253158539047
2,2,-5.470691794100621
2,3,-3.2048250341379148
2,4,-1.488963010895961
2,5,1.042391352412805
2,6,3.54552986882021
2,7,4.3991819269655545
2,8,6.7070336980606005
2,9,6.082476880415132
2,10,6.938045756458397
2,11,5.0497750795337355
2,12,2.8151105601606106
2,13,4.363886946349299
2,14,1.9532336482756034
2,15,0.22954773100402237
2,16,-1.1129092139095837
2,17,-3.8833135932205574
2,18,-6.669383591458747
2,19,-9.58768749880844
2,20,-11.297194426664053
2,21,-10.787754444931231
2,22,-13.842949129793132
2,23,-15.683551770443376
2,24,-15.754728138521536
2,25,-16.02886844678235
2,26,-14.55156806340996
2,27,-17.417030400964805
2,28,-19.201576894314186
2,29,-17.284915069159243
2,30,-19.525021937834996
2,31,-17.319666742193697
2,32,-20.36385275749867
2,33,-22.76377480049151
2,34,-23.75950437256621
2,35,-26.066417301073567
2,36,-26.996106398221514
2,37,-28.479063396489096
2,38,-30.429079250324094
2,39,-33.06730489068039
2,40,-34.68616133081744
2,41,-37.34600691024849
2,42,-39.39913108416735
2,43,-37.735871800792424
2,44,-38.916995029895745
2,45,-40.62873470018273
2,46,-42.294188217791245
2,47,-42.45788442901937
2,48,-44.613707942559955
2,49,-45.52925550716412
2,50,-46.45418235096267
2,51,-42.12398307249772
2,52,-41.84025317676176
2,53,-42.46710278887426
2,54,-39.77220608746036
2,55,-40.19895475544318
2,56,-36.586429056289944
2,57,-36.746934280496106
2,58,-38.12316251985075
2,59,-38.26807467517267
2,60,-34.90124348412347
2,61,-36.16879513643018
2,62,-35.61337778722975
2,63,-31.091863339852228
2,64,-29.920555652567323
2,65,-26.88651844382687
2,66,-24.916473166144485
2,67,-21.430730713037267
2,68,-22.202416387504517
2,69,-19.94897903752865
2,70,-17.57710414820117
2,71,-17.425378347556897
2,72,-14.131630028398689
2,73,-13.860192205988282
2,74,-9.961352047603
2,75,-9.452625710702064
2,76,-5.327938063169001
2,77,-3.371810095147527
2,78,-0.8299570842759811
2,79,-0.9583693250353127
2,80,2.4505164757536644
2,81,6.18690456593082
2,82,5.2549608330308395
2,83,6.093090227779613
2,84,8.069537907123346
2,85,7.652247749521264
2,86,12.022417815503385
2,87,15.757798638927689
2,88,18.604512763103106
2,89,20.354189049077206
2,90,19.053661374838725
2,91,20.82234068600395
2,92,23.7063470215655
2,93,21.53867902422288
2,94,19.618500900133093
2,95,18.426261490455367
2,96,16.749152914912678
2,97,16.17918553372862
2,98,19.548534874134365
2,99,19.728747400197577
2,100,24.221771909594136
2,101,22.448063588290008
2,102,21.04540654719565
2,103,25.7473937757778
2,104,24.776270049050204
2,105,26.70106860461259
2,106,26.468671764883055
2,107,26.653069161027116
2,108,25.810691269649777
2,109,26.32086215454793
2,110,25.611149278772295
2,111,25.0977033100418
2,112,28.80598728428635
2,113,30.715246025249726
2,114,29.437375909856215
2,115,28.499941818025533
2,116,28.455682512406693
2,117,28.312804269763525
2,118,30.835691281225554
2,119,29.002608861282898
2,120,29.79887695396785
2,121,28.854905033019815
2,122,26.63166332254404
2,123,23.952677001371722
2,124,23.335551689589884
2,125,25.03331518902147
2,126,25.9266109536684
2,127,24.382834837475965
2,128,26.950218197438538
2,129,27.819414747548326
2,130,24.3889610221938
2,131,24.286526207090574
2,132,24.88698461259028
2,133,25.960652492794445
2,134,25.30186539339326
2,135,41.02152930508524
2,136,-58.97847069491476
3,0,-0.16290700115140908
3,1,-1.2510982224212603
3,2,-0.5502019712873369
3,3,-2.347004174418263
3,4,-4.483032717752358
3,5,-4.209750116188721
3,6,-3.115159033435665
3,7,-5.059516034353483
3,8,-7.190112119143084
3,9,-7.8224882464697485
3,10,-10.627239994756694
3,11,-12.839976938439166
3,12,-16.007094380826842
3,13,-17.633247373040447
3,14,-20.791373066143947
3,15,-22.803731777540534
3,16,-26.028448035490882
3,17,-28.141964895305406
3,18,-30.06776120665198
3,19,-27.779872781065652
3,20,-29.4014960979809
3,21,-30.938340294252587
3,22,-32.20786071247005
3,23,-34.40262758298752
3,24,-35.766221722276526
3,25,-32.57437100277359
3,26,-34.09620177032808
3,27,-34.88830672700071
3,28,-36.572365184426744
3,29,-36.07746618933086
3,30,-36.95911268698015
3,31,-35.02131906063481
3,32,-34.09683329891902
3,33,-31.058437702006348
3,34,-26.368727051155084
3,35,-28.307007562433803
3,36,-29.323626262065666
3,37,-26.23303355005441
3,38,-28.057564846237053
3,39,-25.05111919784612
3,40,-26.471639469337518
3,41,-24.730955474968997
3,42,-22.518924821574494
3,43,-19.550842476460286
3,44,-20.23521989412212
3,45,-18.60438300781908
3,46,-19.773251494251497
3,47,-16.010502934566052
3,48,-14.565514756660015
3,49,-15.664890047507733
3,50,-15.93499616232757
3,51,-16.763198730315345
3,52,-16.81407139410468
3,53,-12.23316415461036
3,54,-8.252253937345799
3,55,-5.574237580537928
3,56,-3.412573165008771
3,57,-0.9759034101495638
3,58,-1.6460164287993644
3,59,-1.7230982332254496
3,60,1.5928067337933716
3,61,-0.6715078963922789
3,62,-3.537994079827392
3,63,-5.9385427307710685
3,64,-8.489398004294932
3,65,-8.43267044474383
3,66,-10.552159538741657
3,67,-7.818832272733116
3,68,-7.5595577061500165
3,69,-4.299182281718006
3,70,-0.5536767360029469
3,71,-2.6524713843308985
3,72,-5.260360272250398
3,73,-4.408567698874554
3,74,-0.33010796085167105
3,75,-2.745345614137555
3,76,-0.46043344969698774
3,77,-2.452546929250709
3,78,-0.9204823933023614
3,79,1.9613337912211228
3,80,-0.3778155139391808
3,81,2.0895862055795638
3,82,0.007265979424885494
3,83,-2.1535129426936233
3,84,-4.336129314153167
3,85,-4.408649486690494
3,86,-6.589101623755468
3,87,-9.000854477361129
3,88,-5.280035079970731
3,89,-3.205128089186662
3,90,-0.6576669659345731
3,91,1.7330471159703276
3,92,-1.2221724672922893
3,93,-3.7275783397254463
3,94,-0.6191916530124875
3,95,1.4951957323988863
3,96,1.969159858980518
3,97,1.0450046742702424
3,98,-1.026235946599174
3,99,-0.7183962910229031
3,100,-2.512187634699064
3,101,-4.120538949075427
3,102,-1.3241773333834654
3,103,-3.90765704019859
3,104,-1.1053852715304155
3,105,1.185812688221025
3,106,1.674818127272632
3,107,0.909873943072184
3,108,-0.5170105343236313
3,109,-0.9176497736072831
3,110,-0.07331821762016077
3,111,-0.860903460770325
3,112,-2.4836684495950094
3,113,-3.347640636116502
3,114,-3.9033293516465966
3,115,-4.3475711997229265
3,116,-6.21442881478129
3,117,-5.2496906787655675
3,118,-5.421284894970305
3,119,-5.112826740238754
3,120,-3.753276432278793
3,121,-4.416516817838371
3,122,-1.7390557333811243
3,123,-0.5626899898488686
3,124,-1.2145271218837108
3,125,0.8364123347954748
3,126,1.9370565346455382
3,127,2.1782742516658447
3,128,3.217312205433972
3,129,3.8346905166230156
3,130,4.2162653809987205
3,131,2.86869540836176
3,132,2.4624932564190782
3,133,3.3638495623932405
3,134,3.346776236094043
3,135,5.008317696305394
3,136,4.010362832635761
3,137,4.750115504180654
3,138,6.0958470249127386
3,139,7.7039567104895
3,140,18.5896601942191
3,141,26.9691840428077
3,142,34.31941757585609
3,143,39.903588878265666
3,144,47.409748411830776
3,145,67.5155660605009
3,146,61.26119835172112
3,147,57.244501128495386
3,148,-42.755498871504614
4,0,1.672631265376225
4,1,2.8419742238735646
4,2,3.7947670708195194
4,3,4.1581699375196335
4,4,1.0407783767796985
4,5,3.0178777232989242
4,6,3.2957997287001195
4,7,5.120136152013219
4,8,5.087120648744833
4,9,5.575507525215034
4,10,5.7458455111015105
4,11,5.524209681648234
4,12,3.8114850021185775
4,13,1.3525814459076941
4,14,-0.4117702071969602
4,15,-0.3564271568269219
4,16,-1.478780592425831
4,17,-4.981827443975442
4,18,-5.254587080300991
4,19,-6.550192445524612
4,20,-9.993092801528187
4,21,-13.63904878844884
4,22,-15.379812049326096
4,23,-18.13875744353013
4,24,-21.77552423424499
4,25,-24.736370064397143
4,26,-27.7048118121617
4,27,-29.70262415926464
4,28,-31.62323011818827
4,29,-35.10739768956483
4,30,-36.139292177479554
4,31,-38.068072558199226
4,32,-39.87072484967735
4,33,-42.23215150561487
4,34,-44.55884778233935
4,35,-46.84714065573136
4,36,-49.09410180233204
4,37,-49.95706431120768
4,38,-51.5474654332259
4,39,-50.223649406769006
4,40,-49.4502628072895
4,41,-47.896632461511736
4,42,-49.61749061209826
4,43,-51.44212536372614
4,44,-53.24402967742437
4,45,-52.86279947637767
4,46,-54.10562518376138
4,47,-54.976261583846814
4,48,-56.488259349655344
4,49,-57.03490785164828
4,50,-57.56286355420013
4,51,-58.610354223088216
4,52,-57.79037545773901
4,53,-58.00345188604465
4,54,-56.07725249053447
4,55,-55.956897706929645
4,56,-55.57157085571516
4,57,-52.557810971357206
4,58,-51.595170561463
4,59,-50.123075326100285
4,60,-49.52594396907667
4,61,-48.119693290163845
4,62,-49.26493969309525
4,63,-48.844380642714434
4,64,-48.10550572068575
4,65,-45.89219551128071
4,66,-45.079625429634326
4,67,-43.973911874513256
4,68,-42.16778374222229
4,69,-41.42524483801851
4,70,-39.96217715880204
4,71,-40.3318007309342
4,72,-37.75048963534541
4,73,-35.82357632976653
4,74,-34.932510108625074
4,75,-33.78653289138769
4,76,-33.30575620029689
4,77,-32.82692049919854
4,78,-31.262119874684352
4,79,-29.44141114459978
4,80,-29.746277343253862
4,81,-29.26049327571374
4,82,-27.276081556451246
4,83,-25.019545110936296
4,84,-22.80078369097071
4,85,-21.911977093201397
4,86,-22.1718587430867
4,87,-20.684131534567825
4,88,-19.086216826708483
4,89,-17.454616655942353
4,90,-14.128235947736325
4,91,-11.617157880443031
4,92,-8.629438441106746
4,93,-7.229155087672004
4,94,-5.578528716010359
4,95,-5.875372201279835
4,96,-2.9222514680912823
4,97,-2.889115817238827
4,98,-2.5652156355469184
4,99,-3.4781314751669195
4,100,-3.4320688514348383
4,101,-4.085166282473188
4,102,-6.093097699534929
4,103,-7.476164234166623
4,104,-5.518980934377788
4,105,-3.6520128972824857
4,106,-4.036451315956383
4,107,-6.770832841133538
4,108,-9.636762600083014
4,109,-11.5296756397162
