Episode,Step,EpisodeReward
1,0,-0.1
1,1,-0.2
1,2,-0.30000000000000004
1,3,-0.4
1,4,-0.5
1,5,-0.6
1,6,-0.7
1,7,-0.7999999999999999
1,8,-0.8999999999999999
1,9,-0.9999999999999999
1,10,-1.0999999999999999
1,11,-1.2
1,12,-1.3
1,13,-1.4000000000000001
1,14,-1.5000000000000002
1,15,-1.6000000000000003
1,16,-1.7000000000000004
1,17,-1.8000000000000005
1,18,-1.9000000000000006
1,19,-2.0000000000000004
1,20,-2.1000000000000005
1,21,-2.2000000000000006
1,22,-2.3000000000000007
1,23,-2.400000000000001
1,24,-2.500000000000001
1,25,-2.600000000000001
1,26,-2.6525715613693843
1,27,-2.7525715613693844
1,28,-2.8525715613693845
1,29,-2.9525715613693846
1,30,-3.0525715613693847
1,31,-3.1525715613693848
1,32,-3.252571561369385
1,33,-3.352571561369385
1,34,-3.452571561369385
1,35,-3.552571561369385
1,36,-3.652571561369385
1,37,-3.7525715613693853
1,38,-3.8525715613693854
1,39,-3.9525715613693855
1,40,-4.052571561369385
1,41,-4.152571561369385
1,42,-4.252571561369384
1,43,-4.352571561369384
1,44,-4.452571561369384
1,45,-4.552571561369383
1,46,-4.652571561369383
1,47,-4.752571561369383
1,48,-4.852571561369382
1,49,-4.952571561369382
1,50,-5.052571561369382
1,51,-5.152571561369381
1,52,-5.252571561369381
1,53,-5.3525715613693805
1,54,-5.45257156136938
1,55,-5.55257156136938
1,56,-5.652571561369379
1,57,-5.752571561369379
1,58,-5.852571561369379
1,59,-5.952571561369378
1,60,-6.052571561369378
1,61,-6.152571561369378
1,62,-6.252571561369377
1,63,-6.352571561369377
1,64,-6.452571561369377
1,65,-6.552571561369376
1,66,-6.652571561369376
1,67,93.24742843863064
2,0,-0.1
2,1,-0.2
2,2,-0.30000000000000004
2,3,-0.4
2,4,-0.5
2,5,-0.6
2,6,-0.7
2,7,-0.7999999999999999
2,8,-0.8999999999999999
2,9,-0.9999999999999999
2,10,-1.0999999999999999
2,11,-1.2
2,12,-1.3
2,13,-1.4000000000000001
2,14,-1.5000000000000002
2,15,-1.6000000000000003
2,16,-1.7000000000000004
2,17,-1.8000000000000005
2,18,-1.9000000000000006
2,19,-2.0000000000000004
2,20,-2.1000000000000005
2,21,-2.2000000000000006
2,22,-2.3000000000000007
2,23,-2.400000000000001
2,24,-2.500000000000001
2,25,-2.600000000000001
2,26,-2.700000000000001
2,27,-2.800000000000001
2,28,-2.9000000000000012
2,29,-3.0000000000000013
2,30,-3.1000000000000014
2,31,-3.2000000000000015
2,32,-3.3000000000000016
2,33,-3.4000000000000017
2,34,-3.5000000000000018
2,35,-3.600000000000002
2,36,-3.700000000000002
2,37,-3.800000000000002
2,38,-3.900000000000002
2,39,-4.000000000000002
2,40,-4.100000000000001
2,41,-4.200000000000001
2,42,-4.300000000000001
2,43,-4.4
2,44,-4.5
2,45,-4.6
2,46,-4.699999999999999
2,47,-4.799999999999999
2,48,-4.899999999999999
2,49,-4.999999999999998
2,50,-5.099999999999998
2,51,-5.1999999999999975
2,52,-5.299999999999997
2,53,-5.399999999999997
2,54,-5.4999999999999964
2,55,-5.599999999999996
2,56,-5.699999999999996
2,57,-5.799999999999995
2,58,-5.899999999999995
2,59,-5.999999999999995
2,60,-6.099999999999994
2,61,-6.199999999999994
2,62,-6.299999999999994
2,63,-6.399999999999993
2,64,-6.499999999999993
2,65,-6.5999999999999925
2,66,-6.699999999999992
2,67,-6.799999999999992
2,68,-6.8999999999999915
2,69,93.00000000000001
3,0,-0.1
3,1,-0.2
3,2,-0.30000000000000004
3,3,-0.4
3,4,-0.5
3,5,-0.6
3,6,-0.7
3,7,-0.7999999999999999
3,8,-0.8999999999999999
3,9,-0.9532317482578946
3,10,-1.0532317482578946
3,11,-1.1532317482578947
3,12,-1.2532317482578947
3,13,-1.3532317482578948
3,14,-1.453231748257895
3,15,-1.553231748257895
3,16,-1.653231748257895
3,17,-1.7532317482578952
3,18,-1.8532317482578953
3,19,-1.9532317482578954
3,20,-2.0532317482578955
3,21,-2.1532317482578955
3,22,-2.2532317482578956
3,23,-2.3532317482578957
3,24,-2.453231748257896
3,25,-2.497179463138634
3,26,-2.5971794631386342
3,27,-2.6971794631386343
3,28,-2.7971794631386344
3,29,-2.8971794631386345
3,30,-2.9971794631386346
3,31,-3.0971794631386347
3,32,-3.1971794631386348
3,33,-3.297179463138635
3,34,-3.397179463138635
3,35,-3.497179463138635
