Episode,Step,EpisodeReward
1,0,-0.1
1,1,-0.2
1,2,-0.30000000000000004
1,3,-0.4
1,4,-0.5
1,5,-0.6
1,6,-0.7
1,7,-0.7999999999999999
1,8,-0.8999999999999999
1,9,-0.9999999999999999
1,10,-1.0999999999999999
1,11,-1.2
1,12,-1.3
1,13,-1.4000000000000001
1,14,-1.5000000000000002
1,15,-1.6000000000000003
1,16,-1.7000000000000004
1,17,-1.8000000000000005
1,18,-1.9000000000000006
1,19,-2.0000000000000004
1,20,-2.1000000000000005
1,21,-2.2000000000000006
1,22,-2.3000000000000007
1,23,-2.400000000000001
1,24,-2.500000000000001
1,25,-2.600000000000001
1,26,-2.700000000000001
1,27,-2.800000000000001
1,28,-2.9000000000000012
1,29,-3.0000000000000013
1,30,-3.1000000000000014
1,31,-3.2000000000000015
1,32,-3.3000000000000016
1,33,-3.4000000000000017
1,34,-3.5000000000000018
1,35,-3.600000000000002
1,36,-3.700000000000002
1,37,-3.800000000000002
1,38,-3.900000000000002
1,39,-4.000000000000002
1,40,-4.100000000000001
1,41,-4.200000000000001
1,42,-4.300000000000001
1,43,-4.4
1,44,-4.5
1,45,-4.6
1,46,-4.699999999999999
1,47,-4.799999999999999
1,48,-4.899999999999999
1,49,-4.999999999999998
1,50,-5.099999999999998
1,51,-5.103659168968408
1,52,-5.203659168968407
1,53,-5.303659168968407
1,54,-5.403659168968407
1,55,-5.503659168968406
1,56,-5.603659168968406
1,57,-5.7036591689684055
1,58,-5.803659168968405
1,59,-5.903659168968405
1,60,-6.0036591689684045
1,61,-6.103659168968404
1,62,-6.203659168968404
1,63,-6.303659168968403
1,64,-6.403659168968403
1,65,-6.503659168968403
1,66,-6.603659168968402
1,67,-6.703659168968402
1,68,-6.803659168968402
1,69,-6.903659168968401
1,70,-7.003659168968401
1,71,-7.1036591689684006
1,72,-7.2036591689684
1,73,-7.3036591689684
1,74,-7.4036591689683995
1,75,-7.503659168968399
1,76,-7.603659168968399
1,77,-7.703659168968398
1,78,-7.803659168968398
1,79,-7.903659168968398
1,80,-8.003659168968397
1,81,-8.103659168968397
1,82,-8.203659168968397
1,83,-8.303659168968396
1,84,-8.403659168968396
1,85,-8.503659168968396
1,86,-8.603659168968395
1,87,-8.703659168968395
1,88,-8.803659168968395
1,89,-8.903659168968394
1,90,-9.003659168968394
1,91,-9.103659168968393
1,92,-9.203659168968393
1,93,-9.303659168968393
1,94,-9.403659168968392
1,95,-9.503659168968392
1,96,90.39634083103161
2,0,-0.1
2,1,-0.2
2,2,-0.30000000000000004
2,3,-0.4
2,4,-0.5
2,5,-0.6
2,6,-0.7
2,7,-0.7999999999999999
2,8,-0.8999999999999999
2,9,-0.9999999999999999
2,10,-1.0999999999999999
2,11,-1.2
2,12,-1.3
2,13,-1.4000000000000001
2,14,-1.5000000000000002
2,15,-1.6000000000000003
2,16,-1.7000000000000004
2,17,-1.8000000000000005
2,18,-1.9000000000000006
2,19,-2.0000000000000004
2,20,-2.1000000000000005
2,21,-2.2000000000000006
2,22,-2.3000000000000007
2,23,-2.400000000000001
2,24,-2.500000000000001
2,25,-2.544307835069072
2,26,-2.644307835069072
2,27,-2.744307835069072
2,28,-2.8443078350690723
2,29,-2.9443078350690723
2,30,-3.0443078350690724
2,31,-3.1443078350690725
2,32,-3.2443078350690726
2,33,-3.3443078350690727
2,34,-3.444307835069073
2,35,-3.544307835069073
2,36,-3.644307835069073
2,37,-3.744307835069073
2,38,-3.844307835069073
2,39,-3.9443078350690732
2,40,-4.044307835069073
2,41,-4.144307835069073
2,42,-4.244307835069073
2,43,-4.344307835069072
2,44,-4.444307835069072
2,45,-4.5443078350690715
2,46,-4.644307835069071
2,47,-4.744307835069071
2,48,-4.8443078350690705
2,49,-4.94430783506907
2,50,-5.04430783506907
2,51,-5.144307835069069
2,52,-5.244307835069069
2,53,-5.344307835069069
2,54,-5.444307835069068
2,55,-5.544307835069068
2,56,-5.644307835069068
2,57,-5.744307835069067
2,58,-5.844307835069067
2,59,-5.944307835069067
2,60,-6.044307835069066
2,61,-6.144307835069066
2,62,-6.2443078350690655
2,63,-6.344307835069065
2,64,-6.444307835069065
2,65,-6.544307835069064
2,66,-6.644307835069064
2,67,-6.744307835069064
2,68,-6.844307835069063
2,69,-6.944307835069063
2,70,-7.044307835069063
2,71,-7.144307835069062
2,72,-7.244307835069062
2,73,-7.344307835069062
2,74,-7.444307835069061
2,75,-7.544307835069061
2,76,-7.6443078350690605
